Burma SuperStar	(415) 387-2147	 Burmese	309 Clement St	94118	burma-superstar-san-francisco
San Tung Chinese Restaurant	(415) 242-0828	 Chinese	1031 Irving St	94122	san-tung-chinese-restaurant-san-francisco
NOPA	(415) 864-8643	 American (New), Modern European	560 Divisadero St	94117	nopa-san-francisco
Cha Cha Cha	(415) 386-7670	 Caribbean, Cuban, Tapas Bars	1801 Haight St	94117	cha-cha-cha-san-francisco-4
Zazie	(415) 564-5332	 Breakfast & Brunch, French	941 Cole St	94117	zazie-san-francisco
Park Chow	(415) 665-9912	 American (Traditional), Breakfast & Brunch	1240 9th Ave	94122	park-chow-san-francisco
PPQ Dungeness Island	(415) 386-8266	 Seafood, Vietnamese	2332 Clement St	94121	ppq-dungeness-island-san-francisco-2
Chapeau!	(415) 750-9787	 French	126 Clement St	94118	chapeau-san-francisco
Aziza	(415) 752-2222	 Moroccan	5800 Geary Blvd	94121	aziza-san-francisco
Shanghai Dumpling King	(415) 387-2088	 Chinese	3319 Balboa St	94121	shanghai-dumpling-king-san-francisco
Thanh Long	(415) 665-1146	 Seafood, Vietnamese	4101 Judah St	94122	thanh-long-san-francisco
Dosa On Fillmore	(415) 441-3672	 Indian	1700 Fillmore St	94115	dosa-on-fillmore-san-francisco-3
A 16	(415) 771-2216	 Italian, Pizza	2355 Chestnut St	94123	a-16-san-francisco
Q Restaurant and Wine Bar	(415) 752-2298	 American (Traditional)	225 Clement St	94118	q-restaurant-and-wine-bar-san-francisco
Fresca	(415) 447-2668	 Tapas Bars, Peruvian	2114 Fillmore St	94115	fresca-san-francisco-4
Isa	(415) 567-9588	 French	3324 Steiner St	94123	isa-san-francisco
Sushi Bistro	(415) 933-7100	 Sushi Bars, Japanese	431 Balboa St	94118	sushi-bistro-san-francisco
My Tofu House	(415) 750-1818	 Korean	4627 Geary Blvd	94118	my-tofu-house-san-francisco
Shabu House	(415) 933-8600	 Japanese	5158 Geary Blvd	94118	shabu-house-san-francisco
Betelnut	(415) 929-8855	 Asian Fusion, Malaysian	2030 Union St	94123	betelnut-san-francisco
SPQR	(415) 771-7779	 Italian	1911 Fillmore St	94115	spqr-san-francisco
Yoshi's Jazz Club & Japanese Restaurant	(415) 655-5600	 Jazz & Blues, Japanese	1330 Fillmore St	94115	yoshis-jazz-club-and-japanese-restaurant-san-francisco
Greens	(415) 771-6222	 Vegetarian	Fort Mason	94123	greens-san-francisco
Bar Crudo	(415) 409-0679	 Seafood, Live/Raw Food	655 Divisadero St	94117	bar-crudo-san-francisco
Spruce	(415) 931-5100	 American (New)	3640 Sacramento St	94118	spruce-san-francisco
Firefly	(415) 821-7652	 American (New)	4288 24th St	94114	firefly-san-francisco
Marnee Thai	(415) 665-9500	 Thai	2225 Irving St	94122	marnee-thai-san-francisco
Marnee Thai	(415) 731-9999	 Thai	1243 9th Ave	94122	marnee-thai-san-francisco-2
Ebisu	(415) 566-1770	 Sushi Bars, Japanese	1283 9th Ave	94122	ebisu-san-francisco
Kingdom of Dumpling	(415) 566-6143	 Chinese	1713 Taraval St	94116	kingdom-of-dumpling-san-francisco-2
Zushi Puzzle	(415) 931-9319	 Sushi Bars, Japanese	1910 Lombard St	94123	zushi-puzzle-san-francisco-2
B Star Bar	(415) 933-9900	 Asian Fusion	127 Clement St	94118	b-star-bar-san-francisco
Nopalito	(415) 437-0303	 Mexican	306 Broderick St	94117	nopalito-san-francisco
Chouchou	(415) 242-0960	 French	400 Dewey Blvd	94116	chouchou-san-francisco
Lime Tree Southeast Asian Kitchen	(415) 665-1415	 Singaporean, Malaysian, Indonesian	450A Irving St	94122	lime-tree-southeast-asian-kitchen-san-francisco
Brothers Restaurant	(415) 387-7991	 Korean	4128 Geary Blvd	94118	brothers-restaurant-san-francisco
La Mediterranee	(415) 921-2956	 Middle Eastern, Mediterranean	2210 Fillmore St	94115	la-mediterranee-san-francisco-2
1300 On Fillmore	(415) 771-7100	 Lounges, American (New), Venues & Event Spaces	1300 Fillmore St	94115	1300-on-fillmore-san-francisco
Pho Phu Quoc PPQ Beef Noodle House Restaurant	(415) 661-8869	 Vietnamese	1816 Irving St	94122	pho-phu-quoc-ppq-beef-noodle-house-restaurant-san-francisco
Toyose	(415) 731-0232	 Korean, Bars	3814 Noriega St	94122	toyose-san-francisco
Gary Danko	(415) 749-2060	 American (New)	800 N Point St	94109	gary-danko-san-francisco
House of Prime Rib	(415) 885-4605	 Steakhouses	1906 Van Ness Ave	94109	house-of-prime-rib-san-francisco
The Slanted Door	(415) 861-8032	 Vietnamese, Asian Fusion	1 Ferry Bldg	94111	the-slanted-door-san-francisco
Foreign Cinema	(415) 648-7600	 Breakfast & Brunch, American (New)	2534 Mission St	94110	foreign-cinema-san-francisco
The House	(415) 986-8612	 Asian Fusion, American (New)	1230 Grant Ave	94133	the-house-san-francisco
Absinthe Brasserie & Bar	(415) 551-1590	 French, Breakfast & Brunch, Bars	398 Hayes St	94102	absinthe-brasserie-and-bar-san-francisco-2
R & G Lounge	(415) 982-7877	 Chinese, Lounges	631 Kearny St	94108	r-and-g-lounge-san-francisco
Suppenküche	(415) 252-9289	 German	525 Laguna St	94102	suppenk%C3%BCche-san-francisco-2
Kokkari Estiatorio	(415) 981-0983	 Greek, Mediterranean	200 Jackson St	94111	kokkari-estiatorio-san-francisco-2
Espetus Churrascaria	(415) 552-8792	 Steakhouses, Brazilian, Buffets	1686 Market St	94102	espetus-churrascaria-san-francisco
La Mar Cebichería Peruana	(415) 397-8880	 Seafood, Peruvian	Pier 1 5 The Embarcadero	94111	la-mar-cebicher%C3%ADa-peruana-san-francisco-4
Zuni Cafe	(415) 552-2522	 American (New), Mediterranean	1658 Market St	94102	zuni-cafe-san-francisco
Boulevard	(415) 543-6084	 American (New)	1 Mission St	94105	boulevard-san-francisco
Wayfare Tavern	(415) 772-9060	 American (Traditional)	558 Sacramento St	94111	wayfare-tavern-san-francisco-2
Dosa on Valencia	(415) 642-3672	 Indian, Gluten-Free	995 Valencia St	94110	dosa-on-valencia-san-francisco
Turtle Tower Restaurant	(415) 409-3333	 Vietnamese	631 Larkin St	94109	turtle-tower-restaurant-san-francisco
Town Hall	(415) 908-3900	 American (New)	342 Howard St	94105	town-hall-san-francisco
Limón Rotisserie	(415) 821-2134	 Peruvian	1001 S Van Ness Ave	94110	lim%C3%B3n-rotisserie-san-francisco-3
Roy's Restaurant	(415) 777-0277	 Asian Fusion	575 Mission St	94105	roys-restaurant-san-francisco
Ozumo	(415) 882-1333	 Sushi Bars, Japanese, Asian Fusion	161 Steuart St	94105	ozumo-san-francisco
Range	(415) 282-8283	 American (New)	842 Valencia St	94110	range-san-francisco
Yank Sing	(415) 957-9300	 Dim Sum	101 Spear St	94105	yank-sing-san-francisco-2
Delfina	(415) 552-4055	 Italian	3621 18th St	94110	delfina-san-francisco
Osha Thai	(415) 788-6742	 Thai	4 Embarcadero Ctr	94110	osha-thai-san-francisco-3
Oola Restaurant & Bar	(415) 995-2061	 American (New), Bars	860 Folsom St	94107	oola-restaurant-and-bar-san-francisco
Perbacco	(415) 955-0663	 Italian	230 California St	94111	perbacco-san-francisco
Tu Lan	(415) 626-0927	 Vietnamese	8 6th St	94103	tu-lan-san-francisco
Millennium	(415) 345-3900	 Vegetarian, Vegan	580 Geary St	94102	millennium-san-francisco
flour + water	(415) 826-7000	 Italian, Pizza	2401 Harrison St	94110	flour-water-san-francisco
Cafe Claude	(415) 392-3505	 French, Jazz & Blues, Specialty Food	7 Claude Ln	94108	cafe-claude-san-francisco
Chaya Brasserie	(415) 777-8688	 French, Asian Fusion	132 The Embarcadero	94105	chaya-brasserie-san-francisco
Scoma's Restaurant	(415) 771-4383	 Seafood	Al Scoma Way	94133	scomas-restaurant-san-francisco
Ryoko's Japanese Restaurant & Bar	(415) 775-1028	 Sushi Bars, Japanese	619 Taylor St	94102	ryokos-japanese-restaurant-and-bar-san-francisco
Gracias Madre	(415) 683-1346	 Vegan, Mexican, Vegetarian	2211 Mission St	94110	gracias-madre-san-francisco
Harris' Restaurant	(415) 673-1888	 Steakhouses	2100 Van Ness Ave	94109	harris-restaurant-san-francisco
Beretta	(415) 695-1199	 Italian, Bars, Pizza	1199 Valencia St	94110	beretta-san-francisco
Luna Park	(415) 553-8584	 Breakfast & Brunch, American (Traditional)	694 Valencia St	94110	luna-park-san-francisco
